column,dtype,missing_count,missing_pct,n_unique
gender,object,0,0.0,2
SeniorCitizen,int64,0,0.0,2
Partner,object,0,0.0,2
Dependents,object,0,0.0,2
PhoneService,object,0,0.0,2
PaperlessBilling,object,0,0.0,2
Churn,object,0,0.0,2
MultipleLines,object,0,0.0,3
InternetService,object,0,0.0,3
OnlineSecurity,object,0,0.0,3
OnlineBackup,object,0,0.0,3
DeviceProtection,object,0,0.0,3
TechSupport,object,0,0.0,3
StreamingTV,object,0,0.0,3
StreamingMovies,object,0,0.0,3
Contract,object,0,0.0,3
PaymentMethod,object,0,0.0,4
tenure,int64,0,0.0,73
MonthlyCharges,float64,0,0.0,1585
TotalCharges,object,0,0.0,6531
customerID,object,0,0.0,7043
