feature,importance_mean,importance_std
tenure,0.05489666485830168,0.0029132671998145033
is_month_to_month,0.04581337673409278,0.004295617098745201
InternetService,0.03632992327365723,0.00687698520672776
Contract,0.007380712495801955,0.0017699869665545435
TotalCharges,0.0039037433155080016,0.0012374443622901086
MonthlyCharges,0.0021232788240460377,0.002586239264461458
PaperlessBilling,0.0021141078302203574,0.0016054923492444494
OnlineSecurity,0.002111007775969409,0.0008679229314542901
PhoneService,0.0019773179363971717,0.0006871684461107874
PaymentMethod,0.0018013898576558329,0.0014768204012483503
TechSupport,0.0015458937198067457,0.0015536769956950168
SeniorCitizen,0.001235242450076246,0.0004402307662032609
StreamingTV,0.00038634426102452936,0.0009271832414898669
gender,0.00036335219199665756,0.0002495335401828419
monthly_charge_group,0.0002075744658865286,0.0002191742450943017
MultipleLines,0.00011082693947143119,0.0007678831007407351
DeviceProtection,7.698468056521746e-05,2.7890918548650433e-05
num_services,7.22054302616404e-05,0.0001539306164138111
tenure_group,1.7954480870108203e-05,9.813685213337627e-05
Partner,8.912655971493599e-06,0.00011426369736558493
customer_value_segment,0.0,6.190413252024948e-05
is_new_customer,0.0,0.0
paperless_billing_flag,0.0,0.0
Dependents,-2.583378542531101e-07,0.00040155991522932186
StreamingMovies,-1.976284584986887e-05,0.0009329187735006923
OnlineBackup,-0.00012748973107032935,0.00041586780120057506
